Layers,Qubits,PCA Layers,Epoch,Total Epochs,Cost,Best Cost,Accuracy,Best Accuracy,Time,Total Time
3,10,10,12,100,0.9843,0.9000,0.6667,0.6930,1.50,18.58
3,10,10,13,100,0.9872,0.9000,0.6667,0.6930,1.54,20.13
3,10,10,14,100,0.9563,0.9000,0.6754,0.6930,1.59,21.71
3,10,10,15,100,0.9452,0.9000,0.6754,0.6930,1.60,23.32
3,10,10,16,100,0.9957,0.9000,0.6754,0.6930,1.51,24.82
3,10,10,17,100,0.8899,0.8899,0.6754,0.6930,1.63,26.45
3,10,10,18,100,0.8821,0.8821,0.6754,0.6930,1.51,27.96
3,10,10,19,100,0.9570,0.8821,0.6754,0.6930,1.56,29.53
3,10,10,20,100,0.7914,0.7914,0.6754,0.6930,1.61,31.14
3,10,10,21,100,0.8948,0.7914,0.6754,0.6930,1.52,32.66
3,10,10,22,100,0.8468,0.7914,0.6842,0.6930,1.58,34.24
3,10,10,23,100,0.8866,0.7914,0.6754,0.6930,1.56,35.80
3,10,10,24,100,0.9336,0.7914,0.6667,0.6930,1.58,37.38
3,10,10,25,100,0.8807,0.7914,0.6667,0.6930,1.56,38.94
3,10,10,26,100,0.8222,0.7914,0.6667,0.6930,1.59,40.54
3,10,10,27,100,0.9465,0.7914,0.6667,0.6930,1.65,42.19
3,10,10,28,100,0.9814,0.7914,0.6754,0.6930,1.52,43.71
3,10,10,29,100,0.9539,0.7914,0.6754,0.6930,1.57,45.28
3,10,10,30,100,0.7081,0.7081,0.6667,0.6930,1.60,46.88
3,10,10,31,100,1.1467,0.7081,0.6667,0.6930,1.56,48.45
3,10,10,32,100,0.8605,0.7081,0.6579,0.6930,1.59,50.03
3,10,10,33,100,0.8990,0.7081,0.6579,0.6930,1.64,51.68
3,10,10,34,100,0.9793,0.7081,0.6579,0.6930,1.52,53.20
3,10,10,35,100,0.9533,0.7081,0.6667,0.6930,1.58,54.78
3,10,10,36,100,0.7126,0.7081,0.6667,0.6930,1.60,56.38
3,10,10,37,100,1.1115,0.7081,0.6667,0.6930,1.57,57.95
3,10,10,38,100,0.9054,0.7081,0.6667,0.6930,1.60,59.55
3,10,10,39,100,1.0694,0.7081,0.6667,0.6930,1.60,61.15
3,10,10,40,100,0.8757,0.7081,0.6667,0.6930,1.61,62.76
3,10,10,41,100,0.8674,0.7081,0.6667,0.6930,1.59,64.34
3,10,10,42,100,0.9818,0.7081,0.6667,0.6930,1.61,65.96
3,10,10,43,100,0.9645,0.7081,0.6754,0.6930,1.53,67.48
3,10,10,44,100,0.8270,0.7081,0.6754,0.6930,1.59,69.07
3,10,10,45,100,0.9271,0.7081,0.6754,0.6930,1.56,70.63
3,10,10,46,100,0.8933,0.7081,0.6754,0.6930,1.60,72.23
3,10,10,47,100,0.8214,0.7081,0.6754,0.6930,1.64,73.87
3,10,10,48,100,0.8683,0.7081,0.6754,0.6930,1.53,75.40
3,10,10,49,100,0.7547,0.7081,0.6667,0.6930,1.58,76.98
3,10,10,50,100,0.8523,0.7081,0.6754,0.6930,1.59,78.57
3,10,10,51,100,0.8749,0.7081,0.6754,0.6930,1.63,80.20
3,10,10,52,100,0.7596,0.7081,0.6754,0.6930,1.54,81.74
3,10,10,53,100,0.9428,0.7081,0.6754,0.6930,1.64,83.38
3,10,10,54,100,0.9503,0.7081,0.6667,0.6930,1.53,84.91
3,10,10,55,100,1.0456,0.7081,0.6667,0.6930,1.57,86.48
3,10,10,56,100,1.0753,0.7081,0.6667,0.6930,1.61,88.09
3,10,10,57,100,0.7646,0.7081,0.6667,0.6930,1.58,89.67
3,10,10,58,100,0.9134,0.7081,0.6667,0.6930,1.60,91.27
3,10,10,59,100,0.9680,0.7081,0.6754,0.6930,1.66,92.93
3,10,10,60,100,0.9373,0.7081,0.6842,0.6930,1.53,94.47
3,10,10,61,100,0.9925,0.7081,0.6842,0.6930,1.59,96.05
3,10,10,62,100,0.8729,0.7081,0.6842,0.6930,1.61,97.66
3,10,10,63,100,0.8179,0.7081,0.6842,0.6930,1.58,99.24
3,10,10,64,100,0.8564,0.7081,0.6842,0.6930,1.62,100.86
3,10,10,65,100,0.8207,0.7081,0.6842,0.6930,1.59,102.45
3,10,10,66,100,0.8700,0.7081,0.6842,0.6930,1.60,104.05
3,10,10,67,100,0.7620,0.7081,0.6930,0.6930,1.67,105.72
3,10,10,68,100,0.9000,0.7081,0.6842,0.6930,1.64,107.36
3,10,10,69,100,0.8965,0.7081,0.6754,0.6930,1.72,109.07
3,10,10,70,100,0.8675,0.7081,0.6754,0.6930,1.54,110.62
3,10,10,71,100,0.7803,0.7081,0.6842,0.6930,1.61,112.23
3,10,10,72,100,0.8162,0.7081,0.6842,0.6930,1.62,113.85
3,10,10,73,100,0.8965,0.7081,0.6842,0.6930,1.54,115.39
3,10,10,74,100,0.8525,0.7081,0.6842,0.6930,1.61,117.00
3,10,10,75,100,0.8492,0.7081,0.6842,0.6930,1.58,118.58
3,10,10,76,100,0.8159,0.7081,0.6930,0.6930,1.61,120.18
3,10,10,77,100,0.6838,0.6838,0.6930,0.6930,1.65,121.83
3,10,10,78,100,0.8577,0.6838,0.7105,0.7105,1.56,123.39
3,10,10,79,100,0.9242,0.6838,0.7105,0.7105,1.67,125.05
3,10,10,80,100,0.9719,0.6838,0.7105,0.7105,1.54,126.59
3,10,10,81,100,0.6935,0.6838,0.7018,0.7105,1.54,128.13
3,10,10,82,100,0.8008,0.6838,0.7018,0.7105,1.61,129.74
3,10,10,83,100,0.7300,0.6838,0.7105,0.7105,1.64,131.38
3,10,10,84,100,0.7689,0.6838,0.7105,0.7105,1.55,132.93
3,10,10,85,100,0.7071,0.6838,0.7105,0.7105,1.59,134.52
3,10,10,86,100,0.7500,0.6838,0.6930,0.7105,1.60,136.12
3,10,10,87,100,0.9293,0.6838,0.6930,0.7105,1.64,137.76
3,10,10,88,100,0.6788,0.6788,0.6930,0.7105,1.54,139.29
3,10,10,89,100,0.8126,0.6788,0.7018,0.7105,1.64,140.93
3,10,10,90,100,0.6863,0.6788,0.7018,0.7105,1.55,142.48
3,10,10,91,100,0.9226,0.6788,0.7018,0.7105,1.66,144.14
3,10,10,92,100,0.7497,0.6788,0.7105,0.7105,1.54,145.68
3,10,10,93,100,0.6136,0.6136,0.7018,0.7105,1.60,147.27
3,10,10,94,100,0.7856,0.6136,0.6930,0.7105,1.61,148.88
3,10,10,95,100,0.6709,0.6136,0.7018,0.7105,1.61,150.50
3,10,10,96,100,0.8444,0.6136,0.7018,0.7105,1.70,152.19
3,10,10,97,100,0.9384,0.6136,0.7018,0.7105,1.72,153.91
3,10,10,98,100,0.8584,0.6136,0.7105,0.7105,1.71,155.61
3,10,10,99,100,0.8496,0.6136,0.6842,0.7105,1.54,157.15
3,10,10,100,100,0.7399,0.6136,0.6930,0.7105,1.60,158.76
=================================================================================
3,12,10,1,100,1.0130,1.0130,0.4298,0.4298,2.11,2.11
3,12,10,2,100,1.0011,1.0011,0.4825,0.4825,2.10,4.20
3,12,10,3,100,1.0165,1.0011,0.5000,0.5000,2.15,6.36
3,12,10,4,100,1.0089,1.0011,0.5351,0.5351,2.07,8.43
3,12,10,5,100,0.9926,0.9926,0.5439,0.5439,2.10,10.52
3,12,10,6,100,0.9923,0.9923,0.5439,0.5439,2.09,12.61
3,12,10,7,100,0.9954,0.9923,0.5965,0.5965,2.01,14.62
3,12,10,8,100,0.9919,0.9919,0.6053,0.6053,2.16,16.78
3,12,10,9,100,0.9906,0.9906,0.6053,0.6053,2.02,18.80
3,12,10,10,100,0.9727,0.9727,0.6053,0.6053,2.06,20.86
3,12,10,11,100,0.9900,0.9727,0.6140,0.6140,1.96,22.82
3,12,10,12,100,0.9794,0.9727,0.6140,0.6140,2.05,24.87
3,12,10,13,100,0.9877,0.9727,0.6228,0.6228,1.98,26.85
3,12,10,14,100,0.9682,0.9682,0.6228,0.6228,2.05,28.90
3,12,10,15,100,0.9983,0.9682,0.6228,0.6228,2.06,30.96
3,12,10,16,100,0.9800,0.9682,0.6404,0.6404,2.05,33.01
3,12,10,17,100,0.9688,0.9682,0.6404,0.6404,2.09,35.10
3,12,10,18,100,0.9827,0.9682,0.6491,0.6491,2.13,37.23
3,12,10,19,100,0.9551,0.9551,0.6491,0.6491,2.10,39.33
3,12,10,20,100,0.9463,0.9463,0.6404,0.6491,2.06,41.39
3,12,10,21,100,0.9825,0.9463,0.6491,0.6491,2.07,43.46
3,12,10,22,100,0.9782,0.9463,0.6579,0.6579,2.10,45.57
3,12,10,23,100,0.9487,0.9463,0.6491,0.6579,2.02,47.58
3,12,10,24,100,0.9591,0.9463,0.6404,0.6579,2.12,49.70
3,12,10,25,100,0.9075,0.9075,0.6404,0.6579,2.00,51.70
3,12,10,26,100,0.8872,0.8872,0.6404,0.6579,2.06,53.76
3,12,10,27,100,0.9089,0.8872,0.6316,0.6579,2.04,55.80
3,12,10,28,100,0.9078,0.8872,0.6316,0.6579,2.08,57.88
3,12,10,29,100,0.9200,0.8872,0.6140,0.6579,2.08,59.96
3,12,10,30,100,0.8920,0.8872,0.6228,0.6579,2.06,62.02
3,12,10,31,100,0.9635,0.8872,0.6316,0.6579,2.08,64.10
3,12,10,32,100,0.8738,0.8738,0.6316,0.6579,2.08,66.17
