Layers,Qubits,PCA Layers,Epoch,Total Epochs,Cost,Best Cost,Accuracy,Best Accuracy,Time,Total Time
6,6,8,58,100,0.0891,0.0571,0.9474,0.9649,0.27,16.24
6,6,8,59,100,0.0821,0.0571,0.9123,0.9649,0.27,16.52
6,6,8,60,100,0.0657,0.0571,0.9386,0.9649,0.27,16.79
6,6,8,61,100,0.0661,0.0571,0.9211,0.9649,0.27,17.06
6,6,8,62,100,0.0692,0.0571,0.9211,0.9649,0.27,17.33
6,6,8,63,100,0.0507,0.0507,0.9474,0.9649,0.27,17.60
6,6,8,64,100,0.0570,0.0507,0.9298,0.9649,0.27,17.88
6,6,8,65,100,0.0513,0.0507,0.9474,0.9649,0.27,18.15
6,6,8,66,100,0.0593,0.0507,0.9211,0.9649,0.27,18.42
6,6,8,67,100,0.0535,0.0507,0.9561,0.9649,0.27,18.69
6,6,8,68,100,0.0562,0.0507,0.9561,0.9649,0.27,18.97
6,6,8,69,100,0.0567,0.0507,0.9386,0.9649,0.27,19.24
6,6,8,70,100,0.0649,0.0507,0.9561,0.9649,0.27,19.51
6,6,8,71,100,0.0578,0.0507,0.9123,0.9649,0.27,19.78
6,6,8,72,100,0.0577,0.0507,0.9211,0.9649,0.28,20.05
6,6,8,73,100,0.0556,0.0507,0.9298,0.9649,0.27,20.33
6,6,8,74,100,0.0494,0.0494,0.9298,0.9649,0.27,20.60
6,6,8,75,100,0.0721,0.0494,0.9298,0.9649,0.27,20.87
6,6,8,76,100,0.0537,0.0494,0.9474,0.9649,0.27,21.14
6,6,8,77,100,0.0546,0.0494,0.9561,0.9649,0.27,21.41
6,6,8,78,100,0.0581,0.0494,0.9298,0.9649,0.27,21.68
6,6,8,79,100,0.0512,0.0494,0.9561,0.9649,0.27,21.95
6,6,8,80,100,0.0489,0.0489,0.9474,0.9649,0.27,22.22
6,6,8,81,100,0.0635,0.0489,0.9386,0.9649,0.27,22.49
6,6,8,82,100,0.0474,0.0474,0.9298,0.9649,0.27,22.76
6,6,8,83,100,0.0499,0.0474,0.9386,0.9649,0.27,23.03
6,6,8,84,100,0.0563,0.0474,0.9298,0.9649,0.27,23.30
6,6,8,85,100,0.0433,0.0433,0.9298,0.9649,0.27,23.58
6,6,8,86,100,0.0462,0.0433,0.9298,0.9649,0.27,23.85
6,6,8,87,100,0.0412,0.0412,0.9649,0.9649,0.27,24.12
6,6,8,88,100,0.0469,0.0412,0.9474,0.9649,0.28,24.40
6,6,8,89,100,0.0495,0.0412,0.9211,0.9649,0.28,24.68
